Model,Train R2,LOOCV R2,LOOCV MAE,LOOCV RMSE
"SVR (linear, C=1.0, eps=0.2)",0.028594894361530065,-0.22077893539256044,2.0830447571278503,2.4978126219975167
"SVR (linear, C=1.0, eps=0.1)",0.014340936698332252,-0.22618591969698154,2.0615091101940006,2.503338074533558
"SVR (linear, C=10.0, eps=0.2)",0.025745647229992064,-0.23014480085720868,2.0899555899635214,2.507375974268132
"SVR (linear, C=100.0, eps=0.2)",0.02570337172515247,-0.23032142316687465,2.0902731877131107,2.507555970411826
"SVR (linear, C=10.0, eps=0.01)",0.002270293032241577,-0.23775404111094667,2.075716934747076,2.5151188890644463
"SVR (linear, C=100.0, eps=0.01)",0.0021588803772558673,-0.23780629683086008,2.0758153292618395,2.51517198037205
"SVR (linear, C=1.0, eps=0.01)",0.0021338625375325604,-0.2521038764674719,2.0864418218797303,2.5296563239826777
"SVR (linear, C=0.1, eps=0.01)",-0.037451693900776295,-0.2686451599587627,2.0751710521619637,2.5463108808637025
"SVR (poly, C=1.0, eps=0.01)",0.0004972426229151727,-0.5497709016014967,2.4264866145653974,2.8143304757560323
"SVR (poly, C=1.0, eps=0.1)",0.011728182214692962,-0.6019116097307298,2.476464351497146,2.861281697564968
"SVR (poly, C=1.0, eps=0.2)",0.025070862389957815,-0.6023332224407913,2.4924439576064885,2.861658208153265
"SVR (poly, C=10.0, eps=0.01)",0.002169812431025986,-1.1618552779859508,2.967972023939933,3.323951291717275
"SVR (poly, C=10.0, eps=0.1)",0.014649324295239352,-1.1625169477774553,2.956032980813195,3.3244599265734722
"SVR (poly, C=10.0, eps=0.2)",0.0073630886084512515,-1.2529593805914083,3.0340266038882637,3.393266919773618
"SVR (poly, C=100.0, eps=0.2)",0.007395157433945698,-1.4668245636895088,3.1676585327910196,3.550671339259182
"SVR (poly, C=100.0, eps=0.1)",0.014651909131209062,-1.5858915203196067,3.235320798754602,3.635352207458097
"SVR (poly, C=100.0, eps=0.01)",0.0021821506480077524,-1.6963739495119583,3.3036071593526164,3.7122003190487725
GPR (kernel_2),0.9956706268604594,-12.141192598876954,2.194202389189782,8.19518444781618
