Model,LOOCV R2,LOOCV MAE,LOOCV RMSE
"GPR (Matern 1.5, len=2.0, alpha=0.01)",0.8521965667627354,0.7285378320053545,0.8691277238617494
"GPR (Matern 1.5, len=20.0, alpha=0.01)",0.8521965642985253,0.7285378433658918,0.8691277311068897
"GPR (Matern 1.5, len=15.0, alpha=0.01)",0.8521965642985253,0.7285378433658918,0.8691277311068897
"GPR (Matern 1.5, len=10.0, alpha=0.01)",0.8521965642985253,0.7285378433658918,0.8691277311068897
"SVR (RBF, C=20.0, eps=0.2, g=0.1)",0.8511466976802651,0.7212203945641988,0.8722090315261782
"GPR (Matern 1.5, len=5.0, alpha=0.05)",0.8483099399730222,0.7360095849442982,0.8804808282687648
"GPR (Matern 1.5, len=10.0, alpha=0.05)",0.8483099310866224,0.7360096287395634,0.8804808540591974
"GPR (Matern 1.5, len=15.0, alpha=0.05)",0.8483099310866224,0.7360096287395634,0.8804808540591974
"GPR (Matern 1.5, len=20.0, alpha=0.05)",0.8483099310866224,0.7360096287395634,0.8804808540591974
"GPR (Matern 1.5, len=2.0, alpha=0.05)",0.8483099289670917,0.7360095915249358,0.8804808602105765
"GPR (Matern 1.5, len=2.0, alpha=0.1)",0.8435682788995456,0.7446702020424409,0.8941363566774866
"GPR (Matern 1.5, len=5.0, alpha=0.1)",0.8435682787392249,0.7446702033551439,0.8941363571356691
"GPR (Matern 1.5, len=15.0, alpha=0.1)",0.8435682782473046,0.7446702042074207,0.8941363585415345
"GPR (Matern 1.5, len=10.0, alpha=0.1)",0.8435682782473046,0.7446702042074207,0.8941363585415345
"GPR (Matern 1.5, len=20.0, alpha=0.1)",0.8435682782473046,0.7446702042074207,0.8941363585415345
"GPR (Matern 1.5, len=2.0, alpha=0.15)",0.8389279979912256,0.7526853042013528,0.9073009607436965
"GPR (Matern 1.5, len=5.0, alpha=0.15)",0.8389279973195322,0.7526853051169361,0.9073009626354844
"GPR (Matern 1.5, len=20.0, alpha=0.15)",0.8389279936961661,0.7526853129170987,0.9073009728404965
"GPR (Matern 1.5, len=15.0, alpha=0.15)",0.8389279936961661,0.7526853129170987,0.9073009728404965
"GPR (Matern 1.5, len=10.0, alpha=0.15)",0.8389279936961661,0.7526853129170987,0.9073009728404965
"GPR (Matern 1.5, len=5.0, alpha=0.2)",0.8343637515081697,0.7601483407439807,0.9200661124117551
"GPR (Matern 1.5, len=2.0, alpha=0.2)",0.834363750705621,0.760148344807243,0.9200661146407293
"GPR (Matern 1.5, len=15.0, alpha=0.2)",0.8343637506781024,0.7601483466911868,0.9200661147171585
"GPR (Matern 1.5, len=20.0, alpha=0.2)",0.8343637506781024,0.7601483466911868,0.9200661147171585
