Kernel,Init Length,Alpha,Train R2,LOOCV R2,LOOCV MAE,LOOCV RMSE,Optimized Kernel
RBF,0.5,0.01,0.9963857538383307,0.9145433094000588,0.5803178534679979,0.6608674738346434,16**2 * RBF(length_scale=4.71)
RBF,2.0,0.01,0.996385754064956,0.914543305056484,0.5803178691871148,0.66086749062986,16**2 * RBF(length_scale=4.71)
RBF,0.1,0.01,0.996385754064956,0.9145433047870624,0.5803178698451164,0.6608674916716275,16**2 * RBF(length_scale=4.71)
RBF,5.0,0.01,0.996385754064956,0.9145433047870624,0.5803178698451164,0.6608674916716275,16**2 * RBF(length_scale=4.71)
RBF,20.0,0.01,0.996385754064956,0.9145433047870624,0.5803178698451164,0.6608674916716275,16**2 * RBF(length_scale=4.71)
RBF,10.0,0.01,0.996385754064956,0.9145433047870624,0.5803178698451164,0.6608674916716275,16**2 * RBF(length_scale=4.71)
RBF,1.0,0.01,0.9963857538191286,0.9145433043314054,0.5803178784444925,0.6608674934335073,16**2 * RBF(length_scale=4.71)
RBF,2.0,0.05,0.9956694562912922,0.9145195350250311,0.5581131320466121,0.6609593953591245,16**2 * RBF(length_scale=4.83)
RBF,20.0,0.05,0.9956694562912922,0.9145195342474983,0.5581131352027516,0.6609593983651771,16**2 * RBF(length_scale=4.83)
RBF,10.0,0.05,0.9956694562912922,0.9145195342474983,0.5581131352027516,0.6609593983651771,16**2 * RBF(length_scale=4.83)
RBF,0.1,0.05,0.9956694562912922,0.9145195342474983,0.5581131352027516,0.6609593983651771,16**2 * RBF(length_scale=4.83)
RBF,5.0,0.05,0.9956694562912922,0.9145195342474983,0.5581131352027516,0.6609593983651771,16**2 * RBF(length_scale=4.83)
RBF,0.5,0.05,0.9956694562912922,0.9145195342474983,0.5581131352027516,0.6609593983651771,16**2 * RBF(length_scale=4.83)
RBF,1.0,0.05,0.9956694562912922,0.9145195339656332,0.558113137496503,0.6609593994549082,16**2 * RBF(length_scale=4.83)
RationalQuadratic,1.0,0.01,0.9964259386874836,0.9118230286414609,0.5992105411161388,0.6713035307195735,"16.3**2 * RationalQuadratic(alpha=3.38, length_scale=5.17)"
RBF,1.0,0.001,0.9964719535901806,0.9108629837400806,0.6001156129340025,0.6749481148782107,15.9**2 * RBF(length_scale=4.62)
RBF,5.0,0.001,0.9964719535901806,0.9108629808932753,0.6001156219517783,0.6749481256562571,15.9**2 * RBF(length_scale=4.62)
RBF,10.0,0.001,0.9964719535901806,0.9108629808932753,0.6001156219517783,0.6749481256562571,15.9**2 * RBF(length_scale=4.62)
RBF,20.0,0.001,0.9964719535901806,0.9108629808932753,0.6001156219517783,0.6749481256562571,15.9**2 * RBF(length_scale=4.62)
RBF,0.1,0.001,0.9964719535901806,0.9108629808932753,0.6001156219517783,0.6749481256562571,15.9**2 * RBF(length_scale=4.62)
RBF,0.5,0.001,0.9964719535901806,0.9108629717326299,0.6001156645900736,0.6749481603385946,15.9**2 * RBF(length_scale=4.62)
RBF,2.0,0.001,0.9964719535901806,0.9108629613600341,0.6001157020622725,0.674948199609391,15.9**2 * RBF(length_scale=4.62)
RationalQuadratic,0.1,0.05,0.995669478692473,0.9094873575838116,0.581614292884818,0.6801363154166079,"16**2 * RationalQuadratic(alpha=1e+05, length_scale=4.83)"
RationalQuadratic,1.0,0.001,0.9964726915390467,0.907190501710397,0.6185582100027752,0.6887118489828747,"16.5**2 * RationalQuadratic(alpha=2.22, length_scale=5.34)"
RationalQuadratic,0.5,0.001,0.9964726915390467,0.907189786202576,0.6185606031042892,0.6887145037637628,"16.5**2 * RationalQuadratic(alpha=2.22, length_scale=5.34)"
RationalQuadratic,0.1,0.001,0.9964726915390467,0.9071889773259165,0.6185634523960348,0.6887175049629334,"16.5**2 * RationalQuadratic(alpha=2.22, length_scale=5.34)"
RationalQuadratic,1.0,0.1,0.9944576311643031,0.9028224890891122,0.5670622183832419,0.7047323825901654,"15.9**2 * RationalQuadratic(alpha=1e+05, length_scale=4.88)"
