TPC (mg GAE/g)
36.5
37.6
39.6
38.7
37.3
38.9
38.2
39.4
39.4
37.5
40.2
38.3
40.1
42.2
40.4
39.2
43.1
38.4
41.2
39.8
41.8
39.7
42.4
41.2
44.4
45.3
44.5
